hour,Load (kW),Air Temp,SolRad_Hor,SolRad_Dif,WS_10m,RH
1,117.92,11.09,0,0,10.69,47.72
2,117.92,10.89,0,0,12.31,54.95
3,117.92,10.7,0,0,13.93,62.18
4,117.92,10.5,0,0,15.54,69.41
5,117.92,10.31,0,0,17.16,76.63
6,117.92,10.11,0,0,18.78,83.86
7,93.17,9.92,23,22,20.4,91.09
8,93.17,9.72,70,70,22.02,98.32
9,109.548174819698,9.71,252,181,17.03,79.5
10,109.365586636285,9.53,287,231,16.55,78.05
11,110.832579138528,9.63,188,186,13.86,79.6
12,110.149554343583,9.55,333,250,14.28,78.75
13,109.71438584842,9.51,325,210,14.97,77.95
14,109.401626475885,9.53,306,100,15.66,76.6
15,109.645565868995,9.55,137,79,15.72,76.3
16,109.931890882961,9.59,0,0,15.38,76.15
17,110.432197784164,9.67,0,0,15.1,74.8
18,111.113885304496,9.8,0,0,14.97,73.85
19,110.67,9.87,0,0,14.83,73
20,110.67,9.9,0,0,14.48,73.1
21,110.67,9.97,0,0,14,72.4
22,117.92,10.11,0,0,13.45,71.45
23,117.92,10.53,0,0,13.31,70.35
24,117.92,10.55,0,0,13.79,71.55
25,117.92,10.54,0,0,13.79,72.8
26,117.92,10.57,0,0,13.79,72.7
27,117.92,10.48,0,0,13.86,74.25
28,117.92,10.4,0,0,14.07,75.7
29,117.92,10.31,0,0,14.14,76.4
30,117.92,10.23,0,0,14.14,75.75
31,93.17,10.15,38,30,14,73.9
32,93.17,10.11,106,99,13.86,71.4
33,109.813338093001,10,111,111,13.79,68.25
34,111.268028368506,9.99,427,162,13.66,66.95
35,113.162968759478,10.14,484,160,13.24,71.4
36,112.651444961883,10.16,329,252,12.69,68.95
37,112.120718912259,10.33,258,215,12.14,67.55
38,112.313691589293,10.33,79,79,11.79,67.65
39,112.048060267443,10.26,24,24,11.52,68.05
40,112.148021510554,10.21,0,0,11.17,66.15
41,112.173525852768,10.26,0,0,10.97,64.45
42,112.53896968931,10.27,0,0,10.62,63.65
43,110.67,10.23,0,0,10.21,63.3
44,110.67,10.12,0,0,9.86,62.75
45,110.67,10,0,0,9.59,62.75
46,117.92,9.9,0,0,9.1,62.8
47,117.92,9.69,0,0,8.55,68.6
48,117.92,9.45,0,0,8.07,66.3
49,117.92,9.32,0,0,7.38,65.15
50,117.92,9.24,0,0,6.97,64.2
51,117.92,9.24,0,0,6.55,62.55
52,117.92,9.3,0,0,6.21,60.1
53,117.92,9.47,0,0,6,57.8
54,117.92,9.68,0,0,5.52,56
55,93.17,9.92,52,27,4.83,54.1
56,93.17,10.16,193,94,4.07,51.8
57,109.83979555426,10.38,361,95,3.03,49.65
58,110.909996382034,10.6,473,95,2,48.05
59,113.303656093382,10.75,524,98,2.07,50.8
