hour,Load (kW)
1,117.92
2,117.92
3,117.92
4,117.92
5,117.92
6,117.92
7,93.17
8,93.17
9,109.548174819698
10,109.365586636285
11,110.832579138528
12,110.149554343583
13,109.71438584842
14,109.401626475885
15,109.645565868995
16,109.931890882961
17,110.432197784164
18,111.113885304496
19,110.67
20,110.67
21,110.67
22,117.92
23,117.92
24,117.92
25,117.92
26,117.92
27,117.92
28,117.92
29,117.92
30,117.92
31,93.17
32,93.17
33,109.813338093001
34,111.268028368506
35,113.162968759478
36,112.651444961883
37,112.120718912259
38,112.313691589293
39,112.048060267443
40,112.148021510554
41,112.173525852768
42,112.53896968931
43,110.67
44,110.67
45,110.67
46,117.92
47,117.92
48,117.92
49,117.92
50,117.92
51,117.92
52,117.92
53,117.92
54,117.92
55,93.17
56,93.17
57,109.83979555426
58,110.909996382034
59,113.303656093382
60,113.249885663664
61,113.032524206127
62,112.942931282513
63,112.969590769251
64,112.687069230456
65,112.95866645256
66,113.369822019115
67,110.67
68,110.67
69,110.67
70,117.92
71,117.92
72,117.92
73,117.92
74,117.92
75,117.92
76,117.92
77,117.92
78,117.92
79,93.17
80,93.17
81,111.264990821532
82,113.302612558363
83,116.337654407057
84,117.05745934486
85,116.807269745242
86,116.022397003878
87,115.934000667119
88,116.478363546336
89,116.623534226219
90,116.761822464021
91,110.67
92,110.67
93,110.67
94,117.92
95,117.92
96,117.92
97,117.92
98,117.92
99,117.92
100,117.92
101,117.92
102,117.92
103,93.17
104,93.17
105,112.388955247689
106,114.810559270351
107,118.356266655247
108,118.871492563787
109,118.289819474358
110,118.000677553423
111,117.737221703851
112,117.570297589769
113,117.799441771112
114,117.588391889473
115,110.67
116,110.67
117,110.67
118,117.92
119,117.92
120,117.92
121,117.92
122,117.92
123,117.92
124,117.92
125,117.92
126,117.92
127,93.17
128,93.17
129,93.17
130,93.17
131,93.17
132,93.17
133,93.17
134,93.17
135,93.17
136,93.17
137,93.17
138,93.17
139,108.17
140,108.17
141,108.17
142,117.92
143,117.92
144,117.92
145,117.92
146,117.92
147,117.92
148,117.92
149,117.92
150,117.92
151,93.17
152,93.17
153,93.17
154,93.17
155,93.17
156,93.17
157,93.17
158,93.17
159,93.17
160,93.17
161,93.17
162,93.17
163,108.17
164,108.17
165,108.17
166,117.92
167,117.92
168,117.92
169,117.92
170,117.92
171,117.92
172,117.92
173,117.92
174,117.92
175,93.17
176,93.17
177,112.592187320399
178,115.638266506483
179,116.974636390017
180,116.119684831541
181,114.746914218006
182,113.852480609668
183,113.997014156546
184,114.097432934846
185,114.344904003638
186,114.633977917412
187,110.67
188,110.67
189,110.67
190,117.92
191,117.92
192,117.92
193,117.92
194,117.92
195,117.92
196,117.92
197,117.92
198,117.92
199,93.17
200,93.17
201,111.495530641364
202,113.740036824784
203,116.167377149044
204,116.199917143172
205,115.000558071049
206,114.047898996523
207,113.553850710002
208,113.464620915953
209,113.214069033976
210,113.56182501493
211,110.67
212,110.67
213,110.67
214,117.92
215,117.92
216,117.92
217,117.92
218,117.92
219,117.92
220,117.92
221,117.92
222,117.92
223,93.17
224,93.17
225,111.019381110864
226,112.651232975607
227,115.081660349563
228,114.820315699922
229,113.897528890734
230,112.997358595071
231,113.040554631852
232,113.225798761069
233,113.199056442165
234,113.386803788211
235,110.67
236,110.67
237,110.67
238,117.92
239,117.92
240,117.92
241,117.92
242,117.92
243,117.92
244,117.92
245,117.92
246,117.92
247,93.17
248,93.17
249,110.974834281833
250,112.285295742492
251,113.652154017262
252,112.249605170183
253,111.012077792035
254,110.430921019653
255,109.916863312487
256,110.533050933269
257,111.101240109388
258,111.72553624316
259,110.67
260,110.67
261,110.67
262,117.92
263,117.92
264,117.92
265,117.92
266,117.92
267,117.92
268,117.92
269,117.92
270,117.92
271,93.17
272,93.17
273,109.319747829893
274,110.181110446098
275,111.642194908617
276,111.784768479726
277,111.421800013673
278,111.237789100083
279,111.176752013733
280,111.026888086063
281,110.756517110959
282,110.910131302469
283,110.67
284,110.67
285,110.67
286,117.92
287,117.92
288,117.92
289,117.92
290,117.92
291,117.92
292,117.92
293,117.92
294,117.92
295,93.17
296,93.17
297,93.17
298,93.17
299,93.17
300,93.17
301,93.17
302,93.17
303,93.17
304,93.17
305,93.17
306,93.17
307,108.17
308,108.17
309,108.17
310,117.92
311,117.92
312,117.92
313,117.92
314,117.92
315,117.92
316,117.92
317,117.92
318,117.92
319,93.17
320,93.17
321,93.17
322,93.17
323,93.17
324,93.17
325,93.17
326,93.17
327,93.17
328,93.17
329,93.17
330,93.17
331,108.17
332,108.17
333,108.17
334,117.92
335,117.92
336,117.92
337,117.92
338,117.92
339,117.92
340,117.92
341,117.92
342,117.92
343,93.17
344,93.17
345,110.409669734539
346,112.732683695954
347,114.851622195732
348,114.29734940271
349,113.323588005007
350,111.797309714351
351,110.80077326455
352,111.31435275974
353,111.006380784071
354,112.351855321616
355,110.67
356,110.67
357,110.67
358,117.92
359,117.92
360,117.92
361,117.92
362,117.92
363,117.92
364,117.92
365,117.92
366,117.92
367,93.17
368,93.17
369,110.096837404538
370,111.236293486524
371,113.881881882367
372,113.627770670912
373,113.355920143915
374,113.110117319688
