hour,Load (kW),Air Temp,SolRad_Hor,SolRad_Dif,WS_10m
1,117.92,4.9,0.0,0.0,3.94
2,117.92,5.44,0.0,0.0,3.59
3,117.92,5.98,0.0,0.0,3.24
4,117.92,6.52,0.0,0.0,2.88
5,117.92,7.06,0.0,0.0,2.53
6,117.92,7.61,0.0,0.0,2.18
7,93.17,8.15,24.0,24.0,1.82
8,93.17,8.69,195.0,67.0,1.47
9,109.548174819698,9.62,339.0,85.0,1.52
10,109.365586636285,12.16,328.0,209.0,1.17
11,110.832579138528,14.16,412.0,195.0,0.97
12,110.149554343583,15.17,473.0,100.0,1.03
13,109.71438584842,15.61,389.0,117.0,0.9
14,109.401626475885,15.7,125.0,120.0,0.69
15,109.645565868995,15.45,132.0,53.0,0.76
16,109.931890882961,14.54,0.0,0.0,0.97
17,110.432197784164,14.01,0.0,0.0,0.76
18,111.113885304496,13.81,0.0,0.0,0.69
19,110.67,12.86,0.0,0.0,0.97
20,110.67,11.14,0.0,0.0,1.31
21,110.67,9.5,0.0,0.0,1.66
22,117.92,8.59,0.0,0.0,1.86
23,117.92,8.32,0.0,0.0,2.07
24,117.92,8.36,0.0,0.0,2.21
25,117.92,8.94,0.0,0.0,2.48
26,117.92,8.98,0.0,0.0,2.76
27,117.92,9.26,0.0,0.0,3.1
28,117.92,9.5,0.0,0.0,3.38
29,117.92,9.57,0.0,0.0,3.45
30,117.92,9.62,0.0,0.0,3.45
31,93.17,9.65,24.0,24.0,3.38
32,93.17,10.83,199.0,64.0,2.83
33,109.813338093001,13.03,340.0,86.0,2.76
34,111.268028368506,14.67,447.0,90.0,3.24
35,113.162968759478,15.48,495.0,94.0,3.52
36,112.651444961883,16.02,481.0,96.0,3.59
37,112.120718912259,16.32,409.0,91.0,3.72
38,112.313691589293,16.3,274.0,96.0,3.52
39,112.048060267443,15.92,127.0,61.0,2.9
40,112.148021510554,14.87,0.0,0.0,2.28
41,112.173525852768,13.55,0.0,0.0,2.07
42,112.53896968931,12.41,0.0,0.0,2.0
43,110.67,11.34,0.0,0.0,1.93
44,110.67,10.41,0.0,0.0,1.59
45,110.67,9.56,0.0,0.0,1.66
46,117.92,8.98,0.0,0.0,1.66
47,117.92,8.62,0.0,0.0,1.66
48,117.92,8.73,0.0,0.0,1.45
49,117.92,9.4,0.0,0.0,1.1
50,117.92,9.84,0.0,0.0,0.9
51,117.92,8.88,0.0,0.0,0.97
52,117.92,8.84,0.0,0.0,0.97
53,117.92,8.22,0.0,0.0,0.97
54,117.92,7.9,0.0,0.0,0.9
55,93.17,7.91,24.0,24.0,1.03
56,93.17,8.46,198.0,65.0,1.17
57,109.83979555426,11.32,341.0,87.0,1.52
58,110.909996382034,12.98,452.0,89.0,1.93
59,113.303656093382,14.36,487.0,110.0,2.41
60,113.249885663664,15.33,479.0,104.0,2.76
61,113.032524206127,15.77,410.0,96.0,2.97
62,112.942931282513,15.86,295.0,77.0,2.97
63,112.969590769251,15.57,139.0,52.0,2.48
64,112.687069230456,14.66,0.0,0.0,1.93
65,112.95866645256,13.43,0.0,0.0,1.72
66,113.369822019115,12.12,0.0,0.0,1.72
67,110.67,11.29,0.0,0.0,1.59
68,110.67,11.15,0.0,0.0,1.59
69,110.67,10.43,0.0,0.0,1.79
70,117.92,9.97,0.0,0.0,1.86
71,117.92,9.34,0.0,0.0,1.93
72,117.92,8.97,0.0,0.0,2.48
73,117.92,8.75,0.0,0.0,2.76
74,117.92,8.75,0.0,0.0,2.69
75,117.92,8.17,0.0,0.0,2.28
76,117.92,7.03,0.0,0.0,2.28
77,117.92,6.75,0.0,0.0,2.07
78,117.92,6.98,0.0,0.0,2.07
79,93.17,7.3,25.0,25.0,2.07
80,93.17,8.51,195.0,68.0,2.07
81,111.264990821532,10.16,340.0,88.0,1.52
82,113.302612558363,12.26,453.0,88.0,0.97
83,116.337654407057,14.09,494.0,99.0,0.9
84,117.05745934486,15.09,481.0,101.0,1.17
85,116.807269745242,15.54,423.0,82.0,1.45
86,116.022397003878,15.56,284.0,92.0,1.59
87,115.934000667119,15.16,149.0,47.0,1.66
88,116.478363546336,14.25,0.0,0.0,1.66
89,116.623534226219,13.03,0.0,0.0,1.79
90,116.761822464021,11.98,0.0,0.0,1.86
91,110.67,10.89,0.0,0.0,1.79
92,110.67,10.41,0.0,0.0,2.14
93,110.67,9.82,0.0,0.0,1.79
94,117.92,10.06,0.0,0.0,1.59
95,117.92,10.68,0.0,0.0,1.38
96,117.92,11.28,0.0,0.0,1.17
97,117.92,10.33,0.0,0.0,1.38
98,117.92,9.36,0.0,0.0,1.66
99,117.92,8.33,0.0,0.0,1.93
100,117.92,7.96,0.0,0.0,2.07
101,117.92,7.93,0.0,0.0,2.0
102,117.92,7.88,0.0,0.0,1.79
103,93.17,8.04,25.0,25.0,1.72
104,93.17,8.65,197.0,66.0,1.72
105,112.388955247689,12.3,341.0,85.0,1.86
106,114.810559270351,13.83,453.0,88.0,2.07
107,118.356266655247,14.86,491.0,102.0,2.41
108,118.871492563787,15.6,489.0,93.0,2.69
109,118.289819474358,16.02,416.0,93.0,2.76
110,118.000677553423,16.05,299.0,77.0,2.83
111,117.737221703851,15.66,142.0,53.0,2.69
112,117.570297589769,14.65,0.0,0.0,2.48
113,117.799441771112,13.63,0.0,0.0,2.48
114,117.588391889473,13.07,0.0,0.0,2.48
115,110.67,12.7,0.0,0.0,2.41
116,110.67,12.42,0.0,0.0,2.69
117,110.67,12.15,0.0,0.0,2.62
118,117.92,11.48,0.0,0.0,2.55
119,117.92,11.06,0.0,0.0,2.41
120,117.92,10.45,0.0,0.0,2.34
121,117.92,9.76,0.0,0.0,2.21
122,117.92,9.11,0.0,0.0,2.07
123,117.92,8.86,0.0,0.0,1.93
124,117.92,8.92,0.0,0.0,1.79
125,117.92,8.72,0.0,0.0,1.66
126,117.92,8.24,0.0,0.0,1.66
127,93.17,7.76,24.0,24.0,1.59
128,93.17,8.69,202.0,63.0,1.17
129,93.17,11.19,342.0,88.0,1.79
130,93.17,12.71,429.0,123.0,2.41
131,93.17,13.95,485.0,120.0,3.17
132,93.17,15.04,410.0,198.0,3.66
133,93.17,15.6,357.0,170.0,4.07
134,93.17,15.73,274.0,112.0,4.34
135,93.17,15.46,113.0,76.0,4.34
136,93.17,14.74,0.0,0.0,4.21
137,93.17,14.04,0.0,0.0,3.93
138,93.17,13.7,0.0,0.0,3.72
139,108.17,13.46,0.0,0.0,3.66
140,108.17,13.44,0.0,0.0,3.31
141,108.17,13.27,0.0,0.0,3.1
142,117.92,13.13,0.0,0.0,3.03
143,117.92,13.04,0.0,0.0,3.03
