hour,Load (kW),Air Temp,SolRad_Hor,SolRad_Dif,WS_10m,scaling_factor,Modified Load (kW)
1,117.92,4.9,0.0,0.0,3.94,1.0,117.92
2,117.92,5.44,0.0,0.0,3.59,1.0,117.92
3,117.92,5.98,0.0,0.0,3.24,1.0,117.92
4,117.92,6.52,0.0,0.0,2.88,1.0,117.92
5,117.92,7.06,0.0,0.0,2.53,1.0,117.92
6,117.92,7.61,0.0,0.0,2.18,1.0,117.92
7,93.17,8.15,24.0,24.0,1.82,1.0,93.17
8,93.17,8.69,195.0,67.0,1.47,1.2,111.804
9,109.548174819698,9.62,339.0,85.0,1.52,1.2,131.4578097836376
10,109.365586636285,12.16,328.0,209.0,1.17,1.2,131.238703963542
11,110.832579138528,14.16,412.0,195.0,0.97,1.2,132.9990949662336
12,110.149554343583,15.17,473.0,100.0,1.03,1.8,198.2691978184494
13,109.71438584842,15.61,389.0,117.0,0.9,1.8,197.485894527156
14,109.401626475885,15.7,125.0,120.0,0.69,1.8,196.922927656593
15,109.645565868995,15.45,132.0,53.0,0.76,1.8,197.362018564191
16,109.931890882961,14.54,0.0,0.0,0.97,1.8,197.87740358932982
17,110.432197784164,14.01,0.0,0.0,0.76,1.8,198.7779560114952
18,111.113885304496,13.81,0.0,0.0,0.69,1.8,200.00499354809278
19,110.67,12.86,0.0,0.0,0.97,1.5,166.005
20,110.67,11.14,0.0,0.0,1.31,1.5,166.005
21,110.67,9.5,0.0,0.0,1.66,1.5,166.005
22,117.92,8.59,0.0,0.0,1.86,1.5,176.88
23,117.92,8.32,0.0,0.0,2.07,1.0,117.92
24,117.92,8.36,0.0,0.0,2.21,1.0,117.92
25,117.92,8.94,0.0,0.0,2.48,1.0,117.92
26,117.92,8.98,0.0,0.0,2.76,1.0,117.92
27,117.92,9.26,0.0,0.0,3.1,1.0,117.92
28,117.92,9.5,0.0,0.0,3.38,1.0,117.92
29,117.92,9.57,0.0,0.0,3.45,1.0,117.92
30,117.92,9.62,0.0,0.0,3.45,1.0,117.92
31,93.17,9.65,24.0,24.0,3.38,1.0,93.17
32,93.17,10.83,199.0,64.0,2.83,1.0,93.17
33,109.813338093001,13.03,340.0,86.0,2.76,1.0,109.813338093001
34,111.268028368506,14.67,447.0,90.0,3.24,1.0,111.268028368506
35,113.162968759478,15.48,495.0,94.0,3.52,1.0,113.162968759478
36,112.651444961883,16.02,481.0,96.0,3.59,1.0,112.651444961883
37,112.120718912259,16.32,409.0,91.0,3.72,1.0,112.120718912259
38,112.313691589293,16.3,274.0,96.0,3.52,1.0,112.313691589293
39,112.048060267443,15.92,127.0,61.0,2.9,1.0,112.048060267443
40,112.148021510554,14.87,0.0,0.0,2.28,1.0,112.148021510554
41,112.173525852768,13.55,0.0,0.0,2.07,1.0,112.173525852768
42,112.53896968931,12.41,0.0,0.0,2.0,1.0,112.53896968931
43,110.67,11.34,0.0,0.0,1.93,1.0,110.67
44,110.67,10.41,0.0,0.0,1.59,1.0,110.67
45,110.67,9.56,0.0,0.0,1.66,1.0,110.67
46,117.92,8.98,0.0,0.0,1.66,1.0,117.92
47,117.92,8.62,0.0,0.0,1.66,1.0,117.92
48,117.92,8.73,0.0,0.0,1.45,1.0,117.92
49,117.92,9.4,0.0,0.0,1.1,1.0,117.92
50,117.92,9.84,0.0,0.0,0.9,1.0,117.92
51,117.92,8.88,0.0,0.0,0.97,1.0,117.92
52,117.92,8.84,0.0,0.0,0.97,1.0,117.92
53,117.92,8.22,0.0,0.0,0.97,1.0,117.92
54,117.92,7.9,0.0,0.0,0.9,1.0,117.92
55,93.17,7.91,24.0,24.0,1.03,1.0,93.17
56,93.17,8.46,198.0,65.0,1.17,1.0,93.17
57,109.83979555426,11.32,341.0,87.0,1.52,1.0,109.83979555426
58,110.909996382034,12.98,452.0,89.0,1.93,1.0,110.909996382034
59,113.303656093382,14.36,487.0,110.0,2.41,1.0,113.303656093382
60,113.249885663664,15.33,479.0,104.0,2.76,1.0,113.249885663664
61,113.032524206127,15.77,410.0,96.0,2.97,1.0,113.032524206127
62,112.942931282513,15.86,295.0,77.0,2.97,1.0,112.942931282513
63,112.969590769251,15.57,139.0,52.0,2.48,1.0,112.969590769251
64,112.687069230456,14.66,0.0,0.0,1.93,1.0,112.687069230456
65,112.95866645256,13.43,0.0,0.0,1.72,1.0,112.95866645256
66,113.369822019115,12.12,0.0,0.0,1.72,1.0,113.369822019115
67,110.67,11.29,0.0,0.0,1.59,1.0,110.67
68,110.67,11.15,0.0,0.0,1.59,1.0,110.67
69,110.67,10.43,0.0,0.0,1.79,1.0,110.67
70,117.92,9.97,0.0,0.0,1.86,1.0,117.92
71,117.92,9.34,0.0,0.0,1.93,1.0,117.92
72,117.92,8.97,0.0,0.0,2.48,1.0,117.92
73,117.92,8.75,0.0,0.0,2.76,1.0,117.92
74,117.92,8.75,0.0,0.0,2.69,1.0,117.92
75,117.92,8.17,0.0,0.0,2.28,1.0,117.92
76,117.92,7.03,0.0,0.0,2.28,1.0,117.92
77,117.92,6.75,0.0,0.0,2.07,1.0,117.92
78,117.92,6.98,0.0,0.0,2.07,1.0,117.92
79,93.17,7.3,25.0,25.0,2.07,1.0,93.17
80,93.17,8.51,195.0,68.0,2.07,1.0,93.17
81,111.264990821532,10.16,340.0,88.0,1.52,1.0,111.264990821532
82,113.302612558363,12.26,453.0,88.0,0.97,1.0,113.302612558363
83,116.337654407057,14.09,494.0,99.0,0.9,1.0,116.337654407057
84,117.05745934486,15.09,481.0,101.0,1.17,1.0,117.05745934486
85,116.807269745242,15.54,423.0,82.0,1.45,1.0,116.807269745242
86,116.022397003878,15.56,284.0,92.0,1.59,1.0,116.022397003878
87,115.934000667119,15.16,149.0,47.0,1.66,1.0,115.934000667119
88,116.478363546336,14.25,0.0,0.0,1.66,1.0,116.478363546336
89,116.623534226219,13.03,0.0,0.0,1.79,1.0,116.623534226219
90,116.761822464021,11.98,0.0,0.0,1.86,1.0,116.761822464021
91,110.67,10.89,0.0,0.0,1.79,1.0,110.67
92,110.67,10.41,0.0,0.0,2.14,1.0,110.67
93,110.67,9.82,0.0,0.0,1.79,1.0,110.67
94,117.92,10.06,0.0,0.0,1.59,1.0,117.92
95,117.92,10.68,0.0,0.0,1.38,1.0,117.92
96,117.92,11.28,0.0,0.0,1.17,1.0,117.92
97,117.92,10.33,0.0,0.0,1.38,1.0,117.92
98,117.92,9.36,0.0,0.0,1.66,1.0,117.92
99,117.92,8.33,0.0,0.0,1.93,1.0,117.92
100,117.92,7.96,0.0,0.0,2.07,1.0,117.92
101,117.92,7.93,0.0,0.0,2.0,1.0,117.92
102,117.92,7.88,0.0,0.0,1.79,1.0,117.92
103,93.17,8.04,25.0,25.0,1.72,1.0,93.17
104,93.17,8.65,197.0,66.0,1.72,1.0,93.17
105,112.388955247689,12.3,341.0,85.0,1.86,1.0,112.388955247689
106,114.810559270351,13.83,453.0,88.0,2.07,1.0,114.810559270351
107,118.356266655247,14.86,491.0,102.0,2.41,1.0,118.356266655247
108,118.871492563787,15.6,489.0,93.0,2.69,1.0,118.871492563787
109,118.289819474358,16.02,416.0,93.0,2.76,1.0,118.289819474358
110,118.000677553423,16.05,299.0,77.0,2.83,1.0,118.000677553423
111,117.737221703851,15.66,142.0,53.0,2.69,1.0,117.737221703851
112,117.570297589769,14.65,0.0,0.0,2.48,1.0,117.570297589769
