tilt_angle;azimuth_angle;weighted_mismatch_kWh;total_energy_production_kWh
0.0;90.0;100467.61399094205;208859.95000180404
0.0;110.0;100467.61399094205;208859.95000180404
0.0;130.0;100467.61399094205;208859.95000180404
0.0;150.0;100467.61399094205;208859.95000180404
0.0;170.0;100467.61399094205;208859.95000180404
0.0;190.0;100467.61399094205;208859.95000180404
0.0;210.0;100467.61399094205;208859.95000180404
0.0;230.0;100467.61399094205;208859.95000180404
0.0;250.0;100467.61399094205;208859.95000180404
0.0;270.0;100467.61399094205;208859.95000180404
10.0;90.0;98183.49129237904;234852.05408569405
10.0;110.0;97682.10829561467;237815.64921286327
10.0;130.0;97426.36784576792;237105.54459694037
10.0;150.0;97457.48929915868;232789.77811690405
10.0;170.0;97924.07464266838;225334.21411227155
10.0;190.0;98862.30876851431;215597.72334831927
10.0;210.0;100239.95116726954;204905.6696124758
10.0;230.0;101943.7400166788;194584.84558188796
10.0;250.0;103761.70783443333;185922.67066746976
10.0;270.0;105375.64983990774;179618.89082118188
20.0;90.0;98495.1474617516;255411.99931043098
20.0;110.0;98032.32052160207;261142.03846666415
20.0;130.0;97617.93841755998;259841.99240626633
20.0;150.0;97213.62996963001;251594.9332023907
20.0;170.0;97295.72793106163;237186.26472717314
20.0;190.0;98586.32985657727;218879.2923086968
20.0;210.0;100874.2881810294;198910.59822960972
20.0;230.0;104463.35980801117;180125.19375057638
20.0;250.0;108872.08195730801;164457.4138973905
20.0;270.0;112671.62749158413;152942.68646487052
30.0;90.0;100311.86524507991;270263.72096753045
30.0;110.0;100154.6810878675;278528.01463452616
30.0;130.0;99510.40357648431;276783.49321515125
30.0;150.0;98154.05752353527;265051.575450979
30.0;170.0;97558.37592990894;244277.90952891216
30.0;190.0;99017.66143996519;218608.0256148583
30.0;210.0;102346.06206882845;190907.82755348177
30.0;230.0;108200.5210915143;165699.2183656787
30.0;250.0;115047.22601480548;145015.83274011553
30.0;270.0;120479.49628423956;130235.14154564633
40.0;90.0;102736.03791743693;279305.6016454334
40.0;110.0;103026.1476045658;289825.97409832594
40.0;130.0;101960.12625619976;287757.17155162396
40.0;150.0;99548.83944508119;273041.95758367213
40.0;170.0;98143.91623778052;246754.14513096085
40.0;190.0;99912.44421713428;214200.32499301567
40.0;210.0;105002.58068049459;181104.8568305557
40.0;230.0;112881.44993446591;151295.50968687944
40.0;250.0;121315.45857418867;127961.24796467513
40.0;270.0;127456.50146414884;111757.5508953283
50.0;90.0;104945.43611032763;282556.3459637061
50.0;110.0;105550.3137816473;295099.6824352503
50.0;130.0;103948.04268041276;292798.8554833846
50.0;150.0;100708.97281268483;275519.39746454067
50.0;170.0;98766.34743985525;244753.08337798202
50.0;190.0;101565.19154660804;206949.8725118551
50.0;210.0;108744.79188287689;168770.9909954625
50.0;230.0;118243.71498917739;136637.05595443374
50.0;250.0;127052.71258620633;113212.38024147936
50.0;270.0;133142.60480796124;97377.2520155024
60.0;90.0;106765.72824175512;280157.3678750636
60.0;110.0;107195.66682359163;294488.38818698603
60.0;130.0;105097.24802036208;292005.3250228134
60.0;150.0;101291.87118415126;272540.21177211753
60.0;170.0;99745.17620579168;238076.01963682738
60.0;190.0;104210.42126659561;196564.7410546717
60.0;210.0;112871.43635895457;156148.5200654745
60.0;230.0;123349.8280025248;123256.18652274339
60.0;250.0;132199.93514734227;100197.7468935609
60.0;270.0;136959.61714772295;87845.59825548659
70.0;90.0;108481.29188217685;272388.785198246
70.0;110.0;108295.68145608457;288130.6106044661
70.0;130.0;105590.60470560903;285485.3462859146
70.0;150.0;101676.15211183466;264205.02272042196
70.0;170.0;101687.53988867952;226792.06669312489
70.0;190.0;107844.5933227561;182883.62249335877
70.0;210.0;117570.8482796675;141926.45918151818
70.0;230.0;128370.34851052485;110429.87140210521
70.0;250.0;135425.22270057103;91963.38984742606
70.0;270.0;139410.10697732522;81706.11744896036
80.0;90.0;109672.76211715885;259502.32770358628
80.0;110.0;108913.53601386506;276135.95111286454
80.0;130.0;105639.09681995503;273325.6383482153
80.0;150.0;102597.80623989941;250625.04448887115
80.0;170.0;104627.72866089967;211118.43572259558
80.0;190.0;112117.2424124391;167058.12455115552
80.0;210.0;122454.30223332325;127592.59931323717
80.0;230.0;132253.5376085602;100329.6024598412
80.0;250.0;138001.95503860185;85301.78617413777
80.0;270.0;140563.71063181214;78767.37298289046
90.0;90.0;110372.08569489657;242130.46785608272
90.0;110.0;108753.48703836923;258675.32667994808
90.0;130.0;105799.30457360507;255622.94373094916
90.0;150.0;104688.24453064015;231949.12278895907
90.0;170.0;108428.72948776366;191760.04460414397
90.0;190.0;116913.9050291742;149557.1015431917
90.0;210.0;127076.95151218284;114490.66304375781
90.0;230.0;135304.99759853145;92237.40718859926
90.0;250.0;139496.60966766044;81408.87962722611
90.0;270.0;140955.38343590256;77597.12527198382
