year,savings,income,maintenance,battery_replacement,battery_degradation_factor,net_cashflow
1,124375.8002078186,3349.9908698266768,4733.04,0.0,0.975,122992.75107764528
2,127754.01779182829,3449.9043475192575,4898.6964,0.0,0.95,126305.22573934753
3,131204.20377219227,3552.797744684019,5070.150774,0.0,0.925,129686.85074287628
4,134726.73872360043,3658.7599374192196,5247.606051089999,0.0,0.9,133137.89260992964
5,138321.91963781262,3767.8824525527466,5431.2722628781485,0.0,0.875,136658.52982748725
6,141989.95267254856,3880.259546700132,5621.366792078883,0.0,0.85,140248.8454271698
7,145730.94545578354,3995.9882876804636,5818.114629801643,0.0,0.825,143908.81911366235
8,149544.8989215555,4115.168638360533,6021.7486418447,0.0,0.8,147638.31891807134
9,155493.04727616036,4237.903542999636,6232.509844309265,0.0,0.8,153498.44097485073
10,161677.78323156963,4364.2990161696,6450.647688860089,0.0,0.8,159591.43455887912
11,168108.51705960528,4494.464234326857,6676.420357970191,0.0,0.8,165926.56093596193
12,174795.03332565108,4628.511630115657,6910.095070499147,0.0,0.8,172513.4498852676
13,198613.30680415273,4766.556989483855,7151.948397966617,61047.17375679296,0.975,135180.741638877
14,204007.91704459337,4908.719551695211,7402.266591895448,0.0,0.95,201514.37000439313
15,209517.45222349832,5055.12211232452,7661.3459226117875,0.0,0.925,206911.22841321104
16,215142.52007321973,5205.891129324598,7929.4930299032,0.0,0.9,212418.9181726411
17,220883.59485414787,5361.156832256704,8207.025285949812,0.0,0.875,218037.72640045476
18,226741.00577555294,5521.05333477876,8494.271170958054,0.0,0.85,223767.78793937364
19,232714.92470646452,5685.718750488535,8791.570661941585,0.0,0.825,229609.07279501148
20,238805.35313842978,5855.295312221855,9099.27563510954,0.0,0.8,235561.3728155421
21,248303.83605951085,6029.929494908872,9417.750282338373,0.0,0.8,244916.01527208133
22,258180.12113877787,6209.772142094528,9747.371542220215,0.0,0.8,254642.52173865217
23,268449.2354570728,6394.978596232498,10088.52954619792,0.0,0.8,264755.68450710736
24,279126.80379737774,6585.708832865132,10441.62808031485,0.0,0.8,275270.884549928
25,317161.74347235076,6782.127598805334,10807.085063125867,92246.47088346709,0.975,220890.31512456315
