capacity_kwh,usable_capacity_kwh,self_consumption_rate,self_sufficiency_rate,grid_import_kwh,grid_export_kwh,avoided_grid_import_kwh,battery_charged_kwh,battery_discharged_kwh,battery_losses_kwh,equivalent_full_cycles,battery_investment,annual_savings,annual_revenue,total_annual_benefit,simple_payback_years,avg_soc_percent
1.0,0.8,79.44836947753792,24.601327237096633,718192.5744655804,60585.30098564697,291.56152826186735,323.62392029250776,291.56152826325985,32.36239202925121,364.4519103290748,500.0,58.312305652373475,0.0,58.312305652373475,8.574519467309875,33.48833650218137
3.0,2.4,79.64586935579125,24.662483421498507,717610.0454115452,59938.7131478303,874.0905822970672,970.2117581092758,874.090582298349,97.02117581092713,364.20440929097873,1500.0,174.81811645941343,0.0,174.81811645941343,8.580346421637868,33.46513032168015
5.0,4.0,79.84318719798031,24.723583238113164,717028.0532757972,59292.721885887935,1456.0827180451015,1616.2030200516247,1456.0827180464617,161.62030200516125,364.0206795116154,2500.0,291.21654360902033,0.0,291.21654360902033,8.584677123825884,33.43699049690511
7.0,5.6,80.03996272748209,24.7845151266511,716447.6607000061,58648.50791278638,2036.4752938362071,2260.416993153157,2036.475293837819,226.04169931531484,363.6563024710391,3500.0,407.29505876724147,0.0,407.29505876724147,8.59327881510136,33.38065660997072
9.0,7.2,80.23622480890778,24.8452880250899,715868.7825475379,58005.97663226676,2615.3534463043325,2902.948273672653,2615.353446305382,290.29482736726544,363.24353420908085,4500.0,523.0706892608665,0.0,523.0706892608665,8.603043704014075,33.30757374907403
11.0,8.8,80.43213130829515,24.905950816925618,715290.9531899873,57364.61067943278,3193.1828038549284,3544.3142265067268,3193.1828038560798,354.43142265067314,362.8616822563727,5500.0,638.6365607709857,0.0,638.6365607709857,8.612096985741305,33.24428896996176
13.0,10.4,80.6276851638472,24.966504411977965,714714.1639610765,56724.40042508774,3769.9720327657415,4184.5244808517755,3769.9720327666078,418.4524480851785,362.497310842943,6500.0,753.9944065531483,0.0,753.9944065531483,8.620753607065149,33.18046858134965
15.0,12.0,80.82322729160747,25.027054375498974,714137.409323476,56084.22860553134,4346.726670366246,4824.696300408236,4346.726670367392,482.46963004082386,362.22722253061596,7500.0,869.3453340732493,0.0,869.3453340732493,8.627181519292614,33.11977464728586
17.0,13.6,81.0187114047657,25.087586374696496,713560.8258008737,55444.24691375026,4923.31019296858,5464.677992189211,4923.310192970301,546.4677992189187,362.00810242428685,8500.0,984.662038593716,0.0,984.662038593716,8.632403471286057,33.05902384976639
19.0,15.2,81.21384611540255,25.148010180789214,712985.2728466035,54805.41029789457,5498.863147238735,6103.514608044945,5498.863147240457,610.3514608044943,361.7673123184511,9500.0,1099.772629447747,0.0,1099.772629447747,8.638149146128908,33.00169231610418
21.0,16.8,81.40831504378228,25.20822782623592,712411.6836277643,54168.75561029492,6072.452366077923,6740.169295644591,6072.452366080153,674.0169295644625,361.4554979809615,10500.0,1214.4904732155846,0.0,1214.4904732155846,8.645600959058442,32.95020163539036
23.0,18.4,81.60177299394846,25.26813242050203,711841.0763053562,53535.41414095362,6643.059688486042,7373.5107649859365,6643.059688487341,737.3510764985949,361.0358526351816,11500.0,1328.6119376972085,0.0,1328.6119376972085,8.655650061320506,32.89822972271923
25.0,20.0,81.79447825508748,25.327803943288057,711272.6890512896,52904.53941421282,7211.446942552691,8004.385491726678,7211.446942554008,800.4385491726683,360.5723471277004,12500.0,1442.2893885105384,0.0,1442.2893885105384,8.666776653545812,32.843398970286366
27.0,21.6,81.98670774993485,25.387328144205725,710705.7050775202,52275.223887802174,7778.430916322046,8633.70101813731,7778.430916323588,863.3701018137302,360.1125424223883,13500.0,1555.6861832644092,0.0,1555.6861832644092,8.6778427071146,32.79389736504397
29.0,23.2,82.17851296096457,25.446720964893586,710139.9725356661,51647.29884129753,8344.16345817619,9261.62606464197,8344.163458177767,926.1626064641916,359.6622180249037,14500.0,1668.832691635238,0.0,1668.832691635238,8.688708024884084,32.754038465573345
31.0,24.8,82.36959189812147,25.50588889360032,709576.3821502323,51021.75396859271,8907.753843609942,9887.170937346842,8907.753843612152,988.7170937346837,359.1836227262965,15500.0,1781.5507687219886,0.0,1781.5507687219886,8.700285320029955,32.71818776967547
33.0,26.4,82.56011676327732,25.56488525293817,709014.4260090381,50398.024922822246,9469.709984804154,10510.899983117324,9469.709984805584,1051.0899983117329,358.7011357880903,16500.0,1893.941996960831,0.0,1893.941996960831,8.71198802628444,32.68288037620357
35.0,28.0,82.75051951374321,25.62384379924766,708452.830047079,49774.69607620047,10031.305946763256,11134.228829739068,10031.305946765158,1113.4228829739081,358.26092667018423,17500.0,2006.2611893526512,0.0,2006.2611893526512,8.722692784405915,32.64584614745425
37.0,29.6,82.94065524461641,25.682719662470987,707892.0216636849,49152.24231687334,10592.114330157405,11756.682589066164,10592.114330159558,1175.6682589066152,357.8417003432283,18500.0,2118.422866031481,0.0,2118.422866031481,8.732911779156126,32.61130440065854
39.0,31.2,83.13030034499776,25.74144360110025,707332.6604027841,48531.396471428045,11151.475591058144,12377.528434511512,11151.475591060389,1237.7528434511514,357.41908945706376,19500.0,2230.295118211629,0.0,2230.295118211629,8.743237538732611,32.57568846914895
41.0,32.8,83.31955790437141,25.800047536975377,706774.442200292,47911.82069088159,11709.69379355025,12997.104215057974,11709.69379355218,1299.7104215057998,357.00285955951773,20500.0,2341.93875871005,0.0,2341.93875871005,8.753431285834088,32.53623383443826
43.0,34.4,83.50730604804332,25.85818407962571,706220.6760435867,47297.1916278761,12263.45995025558,13611.733278063512,12263.45995025716,1361.1733278063466,356.49592878654533,21500.0,2452.691990051116,0.0,2452.691990051116,8.76587850704887,32.4983276270126
45.0,36.0,83.69492163967966,25.916279577305275,705667.3008512338,46682.996969705855,12816.8351426085,14225.927936233695,12816.835142610318,1422.592793623369,356.0231984058422,22500.0,2563.3670285217,0.0,2563.3670285217,8.777517908926137,32.46266339143773
47.0,37.6,83.88237721114845,25.974325524458713,705114.3976409275,46069.32673603249,13369.738352914806,14839.59816990707,13369.738352916369,1483.9598169907083,355.578147683946,23500.0,2673.9476705829616,0.0,2673.9476705829616,8.78850407527857,32.42842437292791
49.0,39.2,84.0685747057775,26.0319819059077,704565.2051484097,45459.77952212354,13918.930845432566,15449.14538381603,13918.930845434414,1544.9145383815987,355.07476646516363,24500.0,2783.7861690865134,0.0,2783.7861690865134,8.80096333262535,32.39325713808292
51.0,40.8,84.25404025642956,26.089411639617836,704018.1715363743,44852.63106430653,14465.964457468013,16056.293841633096,14465.964457469749,1605.629384163307,354.5579523889644,25500.0,2893.192891493603,0.0,2893.192891493603,8.813791875050438,32.3564720101039
