month,E_ac,load_wh,direct_consumption,battery_discharge,grid_import,grid_export,battery_soc_percent,E_ac_kwh,load_wh_kwh,direct_consumption_kwh,battery_discharge_kwh,grid_import_kwh,grid_export_kwh,self_consumption_rate,self_sufficiency_rate
1,18434062.236356664,82162166.46812133,15368161.902262995,1183684.4599116966,65610320.10594665,1767695.3786362284,28.539889986819876,18434.062236356665,82162.16646812133,15368.161902262995,1183.6844599116966,65610.32010594665,1767.6953786362285,89.78946772529733,20.145338266605663
2,19109946.471576292,73957128.73852035,15353608.560854156,995812.1795364406,57607707.998129755,2649879.933459425,30.44829128261316,19109.94647157629,73957.12873852035,15353.608560854156,995.8121795364407,57607.70799812976,2649.879933459425,85.55450830125747,22.10661909035829
3,26376822.064365346,81014216.85777347,19918049.11416699,1198350.2932863499,59897817.450320125,5127272.624324632,33.300282783085905,26376.822064365348,81014.21685777347,19918.049114166988,1198.3502932863498,59897.81745032012,5127.272624324632,80.05664729406978,26.06505404418679
4,26937259.15295984,78240548.8663542,19821018.169292998,1124621.2465818427,57294909.45047936,5866661.820798128,33.793894082382465,26937.25915295984,78240.54886635419,19821.018169293,1124.6212465818426,57294.90945047936,5866.661820798128,77.75712924963027,26.770823721664993
5,31635280.50829422,79374990.69292705,24634231.859923612,1283823.0566338345,53456935.776369594,5574578.585444127,35.90673187758129,31635.28050829422,79374.99069292705,24634.231859923613,1283.8230566338345,53456.935776369595,5574.578585444127,81.92769117303126,32.65267144008239
6,29040608.197829746,77837793.65736459,24311661.780431967,1223783.6202297735,52302348.25670285,3369186.839364697,34.00756243137104,29040.608197829744,77837.79365736459,24311.66178043197,1223.7836202297735,52302.34825670285,3369.1868393646973,87.93013295971552,32.80597278112303
7,29506089.31940742,81003116.75113145,25075842.248682883,1264427.6328055325,54662846.869643025,3025327.478718391,33.267996975878916,29506.08931940742,81003.11675113144,25075.842248682882,1264.4276328055325,54662.84686964303,3025.3274787183914,89.27062341725947,32.51760048000931
8,28100195.83091428,80680601.828313,23292081.00607727,1264404.1952246965,56124116.62701103,3403221.274587347,32.96688804936721,28100.195830914283,80680.601828313,23292.08100607727,1264.4041952246967,56124.11662701103,3403.221274587347,87.38901803056575,30.436665871131908
9,25077930.694098957,77096322.15838155,19175177.948631443,1273903.2701024746,56647240.93964764,4487304.667575874,33.049315493753504,25077.930694098955,77096.32215838155,19175.177948631444,1273.9032701024746,56647.240939647636,4487.304667575874,81.54213945389742,26.52406839424154
10,22989035.32092388,81113826.16042769,18208154.31973858,1293607.6488886175,61612064.1918005,3343539.169086833,31.893229318720532,22989.03532092388,81113.82616042769,18208.154319738584,1293.6076488886176,61612.0641918005,3343.539169086833,84.83071036424623,24.042463402054825
11,18147735.315026507,78550923.90489228,14656708.40171471,1164174.360666944,62730041.14251062,2197499.845904079,28.533292915966037,18147.735315026508,78550.92390489228,14656.70840171471,1164.174360666944,62730.04114251062,2197.499845904079,87.17827589915203,20.140925116981727
12,17542695.282265127,81495176.5879314,14723589.650112849,1126494.8871572204,65645092.050661325,1567444.6464220332,27.729767543004986,17542.695282265126,81495.17658793139,14723.589650112848,1126.4948871572203,65645.09205066132,1567.4446464220332,90.35147839165735,19.449107543399453
