tilt_angle;azimuth_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
14.95;144.72;97080.16;244912.91
14.83;142.90;97082.16;245320.81
15.96;147.80;97083.56;245637.30
15.53;144.21;97085.62;246266.06
15.07;141.33;97090.22;246373.76
15.04;140.48;97093.28;246586.77
15.36;141.33;97095.88;246972.26
15.88;143.52;97096.57;247237.84
16.44;146.12;97097.35;247264.36
15.66;141.39;97103.12;247560.49
16.64;145.67;97107.07;247839.66
16.71;145.67;97109.58;247979.73
17.18;147.43;97112.38;248064.25
17.09;146.84;97113.79;248181.15
17.27;145.67;97130.37;249030.40
17.30;145.67;97131.42;249082.11
17.66;146.51;97137.02;249370.45
16.59;141.41;97140.34;249443.70
17.09;143.40;97143.51;249666.36
17.27;144.08;97144.54;249720.64
17.41;144.29;97148.31;249899.01
17.21;143.27;97149.12;249938.80
17.65;144.36;97157.56;250320.63
17.73;144.64;97158.35;250340.27
17.65;143.79;97162.90;250561.27
17.38;141.36;97175.92;251027.08
18.20;143.54;97194.06;251720.28
18.21;143.09;97199.79;251923.99
18.19;142.78;97202.31;252013.13
17.65;140.11;97206.89;252024.81
17.38;138.56;97212.22;252043.31
17.61;139.55;97212.82;252157.85
18.83;144.72;97213.83;252335.33
17.93;140.22;97222.83;252542.76
18.62;142.49;97230.75;252944.13
18.92;143.43;97236.41;253092.24
18.93;143.23;97239.89;253202.10
18.22;139.46;97252.07;253387.14
19.21;143.40;97255.42;253635.67
18.74;141.37;97257.04;253648.58
19.30;143.61;97258.23;253705.96
19.16;142.30;97270.14;254035.27
18.84;139.82;97291.46;254455.98
18.87;139.58;97298.02;254607.28
18.86;138.91;97308.83;254834.04
18.86;138.93;97308.93;254837.32
18.89;138.35;97320.98;255097.82
19.04;138.88;97323.33;255194.03
19.41;140.43;97323.49;255289.58
20.35;143.40;97340.51;255668.21
19.00;137.29;97349.66;255696.99
19.59;139.81;97349.93;255876.90
20.57;143.71;97352.06;255899.15
20.51;143.46;97352.72;255920.35
20.85;144.08;97367.61;256200.69
19.31;137.31;97376.53;256292.58
21.21;144.91;97380.05;256394.96
19.83;139.20;97383.44;256559.31
19.98;139.42;97392.86;256746.54
19.62;137.43;97401.59;256835.81
19.54;136.81;97407.94;256920.58
20.51;140.97;97408.10;257065.34
19.94;138.21;97415.34;257153.30
20.19;139.04;97421.81;257300.89
20.11;138.60;97423.41;257319.68
20.66;140.41;97434.74;257578.71
19.92;136.46;97452.63;257769.83
21.03;141.07;97454.25;257951.00
20.97;140.53;97462.18;258091.26
21.38;141.72;97471.76;258256.63
20.44;137.24;97487.41;258461.99
20.22;135.82;97498.05;258560.09
22.06;143.05;97503.31;258758.27
20.40;135.99;97513.37;258845.70
20.45;136.06;97516.42;258904.13
21.25;139.08;97525.57;259207.33
21.85;141.33;97528.70;259250.05
21.37;139.43;97528.94;259270.55
21.77;140.67;97538.37;259427.38
21.54;139.60;97542.23;259498.87
21.46;139.25;97543.08;259508.33
21.49;138.97;97553.78;259682.26
21.47;138.50;97564.25;259838.76
21.34;137.71;97571.98;259935.24
21.68;139.00;97573.48;260006.17
21.84;139.56;97574.97;260038.52
21.27;136.56;97596.49;260245.63
23.20;143.38;97613.75;260445.43
22.39;140.37;97614.24;260631.08
22.11;138.67;97631.30;260898.76
21.79;136.95;97646.70;261034.63
22.00;137.69;97648.52;261113.50
22.96;141.20;97654.32;261186.98
23.70;143.32;97671.04;261270.45
23.53;142.66;97673.64;261363.85
