azimuth_angle;tilt_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
90.00;11.84;130271.93;239044.23
90.00;12.06;130272.61;239552.18
90.00;12.09;130272.75;239602.02
90.00;12.09;130272.78;239613.95
90.00;12.17;130273.21;239776.68
90.00;12.18;130273.30;239811.16
90.00;12.32;130274.54;240118.13
90.00;12.34;130274.81;240157.52
90.00;12.38;130275.53;240253.70
90.00;12.45;130276.87;240411.70
90.00;12.50;130277.73;240504.03
90.00;12.54;130278.75;240596.09
90.00;12.65;130281.63;240846.37
90.00;12.66;130281.86;240865.28
90.00;12.70;130282.91;240951.17
90.00;12.73;130283.75;241013.17
90.00;12.78;130285.18;241117.29
90.00;12.80;130286.04;241178.04
90.00;12.85;130287.35;241269.15
90.00;12.87;130288.03;241315.33
90.00;13.01;130293.39;241624.64
90.00;13.04;130294.80;241700.82
90.00;13.07;130295.76;241751.32
90.00;13.08;130296.16;241771.83
90.00;13.08;130296.26;241776.80
90.00;13.09;130296.60;241793.78
90.00;13.13;130298.30;241878.82
90.00;13.17;130300.43;241979.73
90.00;13.24;130303.69;242130.23
90.00;13.28;130305.27;242202.78
90.00;13.30;130306.37;242253.66
90.00;13.30;130306.43;242256.30
90.00;13.32;130307.10;242287.09
90.00;13.33;130307.99;242328.28
90.00;13.42;130312.37;242516.65
90.00;13.43;130312.61;242526.97
90.00;13.44;130313.04;242545.08
90.00;13.45;130313.62;242569.44
90.00;13.50;130316.48;242690.70
90.00;13.54;130318.18;242762.63
90.00;13.54;130318.37;242770.93
90.00;13.56;130319.47;242817.19
90.00;13.58;130320.46;242858.28
90.00;13.59;130320.97;242879.47
90.00;13.59;130321.01;242881.33
90.00;13.60;130321.52;242902.60
90.00;13.61;130321.69;242909.72
90.00;13.62;130322.32;242936.06
90.00;13.65;130324.16;243009.88
90.00;13.67;130324.81;243035.60
90.00;13.82;130333.36;243361.98
90.00;13.84;130334.72;243413.20
90.00;13.86;130335.64;243447.09
90.00;13.87;130336.26;243469.05
90.00;13.88;130336.89;243491.58
90.00;13.94;130340.76;243626.83
90.00;13.96;130341.95;243668.20
90.00;13.97;130342.32;243681.05
90.00;14.00;130344.34;243749.40
90.00;14.03;130346.04;243804.83
90.00;14.07;130348.58;243887.04
90.00;14.09;130350.27;243941.92
90.00;14.11;130351.32;243975.89
90.00;14.12;130352.20;244004.38
90.00;14.16;130354.61;244078.47
90.00;14.16;130354.61;244078.72
90.00;14.18;130355.87;244117.09
90.00;14.24;130360.07;244244.47
90.00;14.29;130364.01;244361.90
90.00;14.30;130364.53;244377.13
90.00;14.32;130365.72;244411.81
90.00;14.35;130367.82;244472.56
90.00;14.36;130369.15;244510.52
90.00;14.38;130370.13;244538.33
90.00;14.39;130370.92;244560.29
90.00;14.41;130372.41;244601.31
90.00;14.43;130374.09;244646.75
90.00;14.44;130374.80;244665.82
90.00;14.44;130375.13;244674.99
90.00;14.46;130376.85;244720.99
90.00;14.47;130377.50;244738.34
90.00;14.49;130378.68;244769.99
90.00;14.53;130381.76;244852.38
90.00;14.57;130385.10;244941.72
90.00;14.60;130387.66;245009.23
90.00;14.63;130389.55;245058.62
90.00;14.64;130390.26;245077.38
90.00;14.67;130392.66;245139.55
90.00;14.67;130392.75;245142.03
90.00;14.69;130394.58;245189.50
90.00;14.73;130397.97;245277.33
90.00;14.74;130398.62;245294.29
90.00;14.75;130399.80;245324.55
90.00;14.76;130399.98;245329.04
90.00;14.78;130401.67;245370.88
90.00;14.83;130405.91;245476.20
90.00;14.85;130407.92;245525.54
90.00;14.85;130408.04;245528.50
90.00;14.86;130408.23;245533.27
90.00;14.88;130410.59;245591.25
90.00;14.88;130410.64;245592.29
90.00;14.91;130412.76;245644.34
90.00;14.91;130413.19;245654.87
90.00;14.94;130415.49;245711.39
90.00;14.97;130417.63;245764.01
90.00;15.02;130421.75;245865.27
90.00;15.08;130426.85;245990.52
90.00;15.11;130429.69;246060.32
90.00;15.11;130429.70;246060.50
90.00;15.13;130431.42;246103.02
90.00;15.14;130431.85;246113.53
90.00;15.17;130434.76;246184.39
90.00;15.20;130436.77;246232.66
90.00;15.21;130437.58;246252.19
90.00;15.21;130438.32;246270.06
90.00;15.23;130439.48;246297.92
90.00;15.23;130439.95;246309.18
90.00;15.24;130440.32;246318.13
90.00;15.28;130444.10;246407.31
90.00;15.35;130450.02;246542.94
90.00;15.38;130452.62;246602.45
90.00;15.42;130456.60;246691.20
90.00;15.42;130456.77;246694.89
90.00;15.42;130456.89;246697.45
90.00;15.48;130461.70;246802.86
90.00;15.49;130462.59;246822.58
90.00;15.52;130466.24;246902.50
90.00;15.59;130472.81;247042.57
90.00;15.63;130476.21;247113.50
90.00;15.63;130476.21;247113.58
90.00;15.67;130480.16;247195.41
90.00;15.67;130480.64;247205.42
90.00;15.73;130485.76;247311.09
90.00;15.73;130485.92;247314.36
90.00;15.74;130487.53;247347.05
90.00;15.75;130488.37;247364.27
90.00;15.76;130489.43;247385.77
90.00;15.77;130489.94;247396.15
90.00;15.81;130493.81;247474.57
90.00;15.82;130494.79;247494.15
90.00;15.84;130497.52;247548.75
90.00;15.87;130500.21;247601.71
90.00;15.88;130501.13;247619.86
90.00;15.89;130502.21;247641.11
90.00;15.90;130503.58;247667.97
90.00;15.94;130507.29;247740.44
90.00;16.01;130514.38;247877.33
90.00;16.02;130515.12;247891.44
90.00;16.03;130516.48;247917.43
90.00;16.05;130519.14;247967.49
90.00;16.06;130520.07;247984.84
90.00;16.07;130520.63;247995.23
90.00;16.11;130524.85;248072.77
