tilt_angle;azimuth_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
0.00;228.20;100467.61;208859.95
0.00;169.64;100467.61;208859.95
0.00;244.28;100467.61;208859.95
0.00;192.91;100467.61;208859.95
0.00;194.54;100467.61;208859.95
0.00;191.03;100467.61;208859.95
0.00;188.84;100467.61;208859.95
0.00;183.25;100467.61;208859.95
0.00;203.28;100467.61;208859.95
0.00;198.15;100467.61;208859.95
0.00;146.51;100467.61;208859.95
0.00;128.15;100467.61;208859.95
0.00;246.46;100467.61;208859.95
0.00;181.64;100467.61;208859.95
0.00;216.57;100467.61;208859.95
0.00;208.14;100467.61;208859.95
0.00;123.09;100467.61;208859.95
0.00;91.50;100467.61;208859.95
0.00;241.81;100467.61;208859.95
0.00;197.23;100467.61;208859.95
0.00;114.61;100467.61;208859.95
0.00;192.74;100467.61;208859.95
0.00;202.41;100467.61;208859.95
0.00;195.28;100467.61;208859.95
0.00;120.23;100467.61;208859.95
0.00;143.79;100467.61;208859.95
0.00;199.91;100467.61;208859.95
0.00;161.17;100467.61;208859.95
0.00;164.02;100467.61;208859.95
0.00;194.58;100467.61;208859.95
0.00;199.55;100467.61;208859.95
0.00;198.42;100467.61;208859.95
0.00;184.09;100467.61;208859.95
0.00;202.54;100467.61;208859.95
0.00;100.86;100467.61;208859.95
0.00;260.48;100467.61;208859.95
0.00;173.63;100467.61;208859.95
0.00;195.85;100467.61;208859.95
0.00;133.48;100467.61;208859.95
0.00;112.47;100467.61;208859.95
0.00;123.84;100467.61;208859.95
0.00;143.98;100467.61;208859.95
0.00;196.25;100467.61;208859.95
0.00;186.67;100467.61;208859.95
0.00;179.20;100467.61;208859.95
0.00;110.68;100467.61;208859.95
0.00;190.18;100467.61;208859.95
0.00;184.58;100467.61;208859.95
0.00;139.06;100467.61;208859.95
0.00;221.42;100467.61;208859.95
0.00;193.69;100467.61;208859.95
0.00;124.22;100467.61;208859.95
0.00;213.87;100467.61;208859.95
0.00;140.11;100467.61;208859.95
0.00;182.60;100467.61;208859.95
0.00;156.49;100467.61;208859.95
0.00;114.87;100467.61;208859.95
0.00;154.20;100467.61;208859.95
0.00;185.26;100467.61;208859.95
0.00;229.36;100467.61;208859.95
0.00;175.67;100467.61;208859.95
0.00;154.93;100467.61;208859.95
0.00;216.39;100467.61;208859.95
0.00;163.83;100467.61;208859.95
0.00;110.49;100467.61;208859.95
0.00;100.02;100467.61;208859.95
0.00;94.67;100467.61;208859.95
0.00;148.94;100467.61;208859.95
0.00;168.99;100467.61;208859.95
0.00;142.10;100467.61;208859.95
0.00;203.17;100467.61;208859.95
0.00;263.40;100467.61;208859.95
0.00;100.63;100467.61;208859.95
0.00;187.07;100467.61;208859.95
0.00;217.61;100467.61;208859.95
