time_UTC,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20050101:0000,6.3,80.68,0.0,-0.0,0.0,359.19,3.22,328.0,100590.0
20050101:0100,6.42,81.9,0.0,-0.0,0.0,359.74,3.14,327.0,100620.0
20050101:0200,6.53,83.11,0.0,-0.0,0.0,360.3,3.06,326.0,100600.0
20050101:0300,6.65,84.33,0.0,-0.0,0.0,360.86,2.99,329.0,100610.0
20050101:0400,6.77,85.54,0.0,-0.0,0.0,361.42,2.91,332.0,100600.0
20050101:0500,6.89,86.76,0.0,-0.0,0.0,361.97,2.83,330.0,100620.0
20050101:0600,7.01,87.97,35.5,0.0,35.5,362.53,2.76,326.0,100660.0
20050101:0700,7.13,89.19,226.9,793.35,64.35,363.09,2.68,343.0,100740.0
20050101:0800,8.97,76.95,334.75,737.08,85.7,278.3,1.17,347.0,100780.0
20050101:0900,9.82,71.6,412.75,730.07,97.75,285.05,0.76,349.0,100780.0
20050101:1000,10.57,69.1,428.6,665.01,109.9,298.2,0.48,311.0,100760.0
20050101:1100,11.16,64.25,318.7,356.09,148.5,297.65,0.76,268.0,100700.0
20050101:1200,11.41,62.0,230.8,226.55,133.9,324.95,1.1,260.0,100650.0
20050101:1300,11.54,62.0,101.1,61.91,80.55,329.2,1.31,256.0,100640.0
20050101:1400,11.46,62.0,52.7,86.24,35.7,345.25,1.31,250.0,100650.0
20050101:1500,11.23,64.35,1.15,0.0,1.15,327.65,0.69,237.0,100650.0
20050101:1600,11.07,64.25,0.0,-0.0,0.0,317.0,0.14,246.0,100660.0
20050101:1700,10.77,64.25,0.0,-0.0,0.0,291.85,0.41,19.0,100660.0
20050101:1800,10.16,66.55,0.0,-0.0,0.0,308.3,0.76,46.0,100660.0
20050101:1900,10.76,64.25,0.0,-0.0,0.0,288.75,0.76,54.0,100640.0
20050101:2000,9.91,69.0,0.0,-0.0,0.0,307.5,0.9,50.0,100650.0
20050101:2100,8.79,76.95,0.0,-0.0,0.0,300.95,1.17,42.0,100630.0
20050101:2200,8.33,79.75,0.0,-0.0,0.0,301.5,1.24,32.0,100630.0
20050101:2300,7.98,82.7,0.0,-0.0,0.0,320.1,1.31,37.0,100580.0
20050102:0000,7.77,82.7,0.0,-0.0,0.0,310.4,1.31,37.0,100560.0
20050102:0100,7.86,85.85,0.0,-0.0,0.0,317.3,1.17,24.0,100550.0
20050102:0200,7.78,85.85,0.0,-0.0,0.0,322.4,1.31,2.0,100520.0
20050102:0300,8.1,85.85,0.0,-0.0,0.0,323.95,1.52,355.0,100500.0
20050102:0400,8.34,82.75,0.0,-0.0,0.0,320.65,1.72,354.0,100480.0
20050102:0500,8.17,79.75,0.0,-0.0,0.0,308.3,1.79,353.0,100480.0
20050102:0600,7.92,82.7,37.25,0.0,37.25,294.35,1.86,351.0,100500.0
20050102:0700,8.64,79.85,224.1,759.87,68.4,281.6,1.86,356.0,100500.0
20050102:0800,9.99,69.0,321.05,698.59,84.75,279.05,2.21,351.0,100530.0
20050102:0900,10.71,64.25,395.55,645.87,116.4,283.5,2.21,342.0,100540.0
20050102:1000,11.4,62.0,383.35,565.71,111.6,287.6,2.62,328.0,100530.0
20050102:1100,11.77,59.85,367.55,530.8,113.05,305.0,2.97,321.0,100470.0
20050102:1200,12.07,57.65,264.7,364.0,108.35,311.55,3.17,320.0,100420.0
20050102:1300,12.05,55.5,173.7,295.35,75.05,300.55,3.38,324.0,100410.0
20050102:1400,11.75,55.5,58.6,119.12,34.85,298.05,3.17,333.0,100430.0
20050102:1500,11.09,59.6,1.4,0.0,1.4,292.4,2.83,344.0,100470.0
20050102:1600,10.15,61.75,0.0,-0.0,0.0,282.15,2.69,355.0,100500.0
20050102:1700,9.3,66.35,0.0,-0.0,0.0,266.5,2.41,3.0,100540.0
20050102:1800,8.52,71.35,0.0,-0.0,0.0,267.85,2.07,5.0,100570.0
20050102:1900,8.2,71.35,0.0,-0.0,0.0,276.95,2.14,4.0,100560.0
20050102:2000,7.46,76.7,0.0,-0.0,0.0,274.6,1.86,354.0,100580.0
20050102:2100,6.76,79.55,0.0,-0.0,0.0,270.95,1.72,345.0,100540.0
20050102:2200,6.07,82.5,0.0,-0.0,0.0,259.3,1.79,338.0,100560.0
20050102:2300,5.72,82.5,0.0,-0.0,0.0,266.3,1.79,335.0,100550.0
20050103:0000,5.62,79.4,0.0,-0.0,0.0,261.45,1.59,336.0,100530.0
20050103:0100,5.77,79.4,0.0,-0.0,0.0,259.45,1.45,337.0,100510.0
20050103:0200,5.74,79.4,0.0,-0.0,0.0,255.45,1.45,337.0,100500.0
20050103:0300,5.69,79.4,0.0,-0.0,0.0,257.6,1.38,336.0,100460.0
20050103:0400,6.05,79.4,0.0,-0.0,0.0,256.8,1.24,340.0,100470.0
20050103:0500,6.66,73.8,0.0,-0.0,0.0,262.05,1.1,344.0,100470.0
20050103:0600,6.82,73.8,35.05,0.0,35.05,261.85,1.03,347.0,100500.0
20050103:0700,7.66,73.95,211.6,693.32,69.45,281.2,0.9,6.0,100560.0
20050103:0800,9.65,66.45,329.9,696.29,94.05,277.5,0.76,6.0,100610.0
20050103:0900,10.94,59.6,397.7,679.46,103.45,274.6,0.69,7.0,100600.0
20050103:1000,11.55,55.4,405.0,605.67,113.3,281.75,0.41,359.0,100580.0
20050103:1100,11.86,51.5,389.9,583.91,109.0,293.4,0.34,280.0,100480.0
20050103:1200,12.13,51.5,251.45,363.76,94.5,297.65,0.55,257.0,100430.0
20050103:1300,12.15,51.5,142.6,216.55,69.8,307.3,0.83,266.0,100410.0
20050103:1400,12.02,51.5,47.3,113.28,24.45,318.55,0.83,268.0,100410.0
20050103:1500,11.39,64.35,1.2,0.0,1.2,322.05,0.55,248.0,100430.0
20050103:1600,11.33,53.35,0.0,-0.0,0.0,317.4,0.21,244.0,100440.0
20050103:1700,11.0,57.4,0.0,-0.0,0.0,308.5,0.41,24.0,100460.0
20050103:1800,8.96,74.15,0.0,-0.0,0.0,293.75,1.31,29.0,100480.0
20050103:1900,8.23,76.85,0.0,-0.0,0.0,288.95,1.38,48.0,100480.0
20050103:2000,7.53,79.65,0.0,-0.0,0.0,287.75,1.72,36.0,100480.0
20050103:2100,7.36,79.65,0.0,-0.0,0.0,288.55,2.0,21.0,100500.0
20050103:2200,7.54,79.65,0.0,-0.0,0.0,284.85,2.48,7.0,100510.0
20050103:2300,7.53,79.65,0.0,-0.0,0.0,288.15,2.97,355.0,100520.0
20050104:0000,7.46,79.65,0.0,-0.0,0.0,293.4,3.45,343.0,100510.0
20050104:0100,7.39,79.65,0.0,-0.0,0.0,302.6,4.28,340.0,100530.0
